# sdk/api-contract.tsv — the java/** and javax/** surface pico-jvm serves.
#
# GENERATED by picodroid-core's `api_contract_is_current` test
# (picodroid-core/src/native_handler/api_contract.rs) from the runtime's
# own tables; do not edit by hand. Regenerate with
#     scripts/gen-api-contract.sh
# after changing an SDK java/** class, BUILTIN_METHODS / BUILTIN_CLASS_NAMES /
# BUILTIN_INTERFACE_METHODS (jvm/src/native/mod.rs), BUILTIN_SUPER / BUILTIN_INTERFACES
# (jvm/src/interpreter/helpers.rs), or picodroid-core's
# PLATFORM_BUILTIN_METHODS / CONTRACT_HINTS / TOLERATED.
#
# Consumed by the Gradle task `verifyApiContract`
# (buildSrc/src/main/kotlin/picodroid/classfile/ApiContract.kt), which runs
# on every app's compiled classes before they are packed into a PAPK.
#
# Grammar (tab-separated):
#   owner                            the class resolves: new / checkcast /
#                                    instanceof / catch / super / interface /
#                                    ldc / array element / lambda SAM type
#   owner<TAB>name<TAB>desc          member served with exactly this descriptor
#   owner<TAB>name<TAB>              member served for any descriptor (native
#                                    dispatch is keyed on (class, name))
#   @extends<TAB>child<TAB>parent    builtin superclass edge (BUILTIN_SUPER)
#   @implements<TAB>class<TAB>iface  builtin interface edge (BUILTIN_INTERFACES)
#   @nameonly<TAB>class              resolves as a catch / super / cast type only,
#                                    never instantiated
#   @hint<TAB>owner|prefix*<TAB>name|<empty><TAB>text
#                                    advice printed beside a rejected reference
#
# Resolution (mirrors pico-jvm's dispatch_native): a member is served on an
# owner when a row matches on the owner, on any @extends ancestor, or on
# java/lang/Object; a member of an interface is served when a class that
# @implements it (transitively) serves it, or an app class implementing it
# declares it. A class-file-backed class also serves its declared members
# by inheritance in the usual way.
#
# ── Tolerated: accepted although not served (static shapes never executed) ──
#   java/util/Locale.ROOTLjava/util/Locale; — kotlinc's uppercase()/lowercase() pass it to String.toUpperCase(Locale); getstatic on a classfile-less class reads null and the arm ignores it
#   java/util/Locale.USLjava/util/Locale; — as ROOT
#   java/lang/invoke/LambdaMetafactory (name only) — bootstrap-method owner of every invokedynamic; the interpreter matches the name and builds the lambda itself
#   java/util/AbstractList (name only) — compile-time superclass of the kotlin-shim's EnumEntriesList; its <init> falls through to Object
#   java/lang/NoSuchFieldError (name only) — catch_type in every $WhenMappings / $SwitchMap; never thrown by this JVM
#   java/lang/CloneNotSupportedException (name only) — catch_type in every clone() override that calls super.clone(); Object.clone never throws it here
#
# ── Classes and members ──
java/io/IOException
java/io/InterruptedIOException
java/lang/Appendable
java/lang/ArithmeticException
java/lang/ArrayIndexOutOfBoundsException
java/lang/ArrayStoreException
java/lang/AutoCloseable
java/lang/AutoCloseable	close	()V
java/lang/String	charAt	
java/lang/String	compareTo	
java/lang/String	concat	
java/lang/String	contains	
java/lang/String	endsWith	
java/lang/String	equals	
java/lang/String	equalsIgnoreCase	
java/lang/String	format	(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;
java/lang/String	getBytes	
java/lang/String	hashCode	
java/lang/String	indexOf	
java/lang/String	isEmpty	
java/lang/String	join	(Ljava/lang/CharSequence;Ljava/lang/Iterable;)Ljava/lang/String;
java/lang/String	join	(Ljava/lang/CharSequence;[Ljava/lang/CharSequence;)Ljava/lang/String;
java/lang/String	lastIndexOf	
java/lang/String	length	
java/lang/String	replace	
java/lang/String	split	
java/lang/String	startsWith	
java/lang/String	substring	
java/lang/String	toCharArray	
java/lang/String	toLowerCase	
java/lang/String	toString	
java/lang/String	toUpperCase	
java/lang/String	trim	
java/lang/String	valueOf	(C)Ljava/lang/String;
java/lang/String	valueOf	(D)Ljava/lang/String;
java/lang/String	valueOf	(F)Ljava/lang/String;
java/lang/String	valueOf	(I)Ljava/lang/String;
java/lang/String	valueOf	(J)Ljava/lang/String;
java/lang/String	valueOf	(Ljava/lang/Object;)Ljava/lang/String;
java/lang/String	valueOf	(Z)Ljava/lang/String;
java/lang/StringBuilder
java/lang/StringBuilder	<init>	
java/lang/StringBuilder	append	(C)Ljava/lang/Appendable;
java/lang/StringBuilder	append	(C)Ljava/lang/StringBuilder;
java/lang/StringBuilder	append	(D)Ljava/lang/StringBuilder;
java/lang/StringBuilder	append	(F)Ljava/lang/StringBuilder;
java/lang/StringBuilder	append	(I)Ljava/lang/StringBuilder;
java/lang/StringBuilder	append	(J)Ljava/lang/StringBuilder;
java/lang/StringBuilder	append	(Ljava/lang/CharSequence;)Ljava/lang/Appendable;
java/lang/StringBuilder	append	(Ljava/lang/CharSequence;)Ljava/lang/StringBuilder;
java/lang/StringBuilder	append	(Ljava/lang/Object;)Ljava/lang/StringBuilder;
java/lang/StringBuilder	append	(Ljava/lang/String;)Ljava/lang/StringBuilder;
java/lang/StringBuilder	append	(Z)Ljava/lang/StringBuilder;
java/lang/StringBuilder	charAt	
java/lang/StringBuilder	length	
java/lang/StringBuilder	toString	
java/lang/StringIndexOutOfBoundsException
java/lang/System
java/lang/System	arraycopy	
java/lang/System	arraycopy	(Ljava/lang/Object;ILjava/lang/Object;II)V
java/lang/System	currentTimeMillis	()J
java/lang/Throwable
java/lang/Throwable	<init>	
java/lang/Throwable	addSuppressed	
java/lang/Throwable	getCause	
java/lang/Throwable	getMessage	
java/lang/Throwable	getSuppressed	
java/lang/UnsupportedOperationException
java/net/BindException
java/net/ConnectException
java/net/NoRouteToHostException
java/net/ProtocolException
java/net/SocketException
java/net/SocketTimeoutException
java/net/UnknownHostException
java/time/DateTimeException
java/time/DateTimeException	<init>	(Ljava/lang/String;)V
java/time/DateTimeException	<init>	(Ljava/lang/String;Ljava/lang/Throwable;)V
java/time/DayOfWeek
java/time/DayOfWeek	$VALUES	[Ljava/time/DayOfWeek;
java/time/DayOfWeek	ENUMS	[Ljava/time/DayOfWeek;
java/time/DayOfWeek	FRIDAY	Ljava/time/DayOfWeek;
java/time/DayOfWeek	MONDAY	Ljava/time/DayOfWeek;
java/time/DayOfWeek	SATURDAY	Ljava/time/DayOfWeek;
java/time/DayOfWeek	SUNDAY	Ljava/time/DayOfWeek;
java/time/DayOfWeek	THURSDAY	Ljava/time/DayOfWeek;
java/time/DayOfWeek	TUESDAY	Ljava/time/DayOfWeek;
java/time/DayOfWeek	WEDNESDAY	Ljava/time/DayOfWeek;
java/time/DayOfWeek	getValue	()I
java/time/DayOfWeek	minus	(J)Ljava/time/DayOfWeek;
java/time/DayOfWeek	of	(I)Ljava/time/DayOfWeek;
java/time/DayOfWeek	plus	(J)Ljava/time/DayOfWeek;
java/time/DayOfWeek	valueOf	(Ljava/lang/String;)Ljava/time/DayOfWeek;
java/time/DayOfWeek	values	()[Ljava/time/DayOfWeek;
java/time/Duration
java/time/Duration	NANOS_PER_SECOND	J
java/time/Duration	SECONDS_PER_DAY	J
java/time/Duration	ZERO	Ljava/time/Duration;
java/time/Duration	abs	()Ljava/time/Duration;
java/time/Duration	addTo	(Ljava/time/temporal/Temporal;)Ljava/time/temporal/Temporal;
java/time/Duration	between	(Ljava/time/temporal/Temporal;Ljava/time/temporal/Temporal;)Ljava/time/Duration;
java/time/Duration	compareTo	(Ljava/lang/Object;)I
java/time/Duration	compareTo	(Ljava/time/Duration;)I
java/time/Duration	dividedBy	(J)Ljava/time/Duration;
java/time/Duration	equals	(Ljava/lang/Object;)Z
java/time/Duration	get	(Ljava/time/temporal/TemporalUnit;)J
java/time/Duration	getNano	()I
java/time/Duration	getSeconds	()J
java/time/Duration	getUnits	()Ljava/util/List;
java/time/Duration	hashCode	()I
java/time/Duration	isNegative	()Z
java/time/Duration	isZero	()Z
java/time/Duration	minus	(JLjava/time/temporal/TemporalUnit;)Ljava/time/Duration;
java/time/Duration	minus	(Ljava/time/Duration;)Ljava/time/Duration;
java/time/Duration	minusDays	(J)Ljava/time/Duration;
java/time/Duration	minusHours	(J)Ljava/time/Duration;
java/time/Duration	minusMillis	(J)Ljava/time/Duration;
java/time/Duration	minusMinutes	(J)Ljava/time/Duration;
java/time/Duration	minusNanos	(J)Ljava/time/Duration;
java/time/Duration	minusSeconds	(J)Ljava/time/Duration;
java/time/Duration	multipliedBy	(J)Ljava/time/Duration;
java/time/Duration	nanos	I
java/time/Duration	negated	()Ljava/time/Duration;
java/time/Duration	of	(JLjava/time/temporal/TemporalUnit;)Ljava/time/Duration;
java/time/Duration	ofDays	(J)Ljava/time/Duration;
java/time/Duration	ofHours	(J)Ljava/time/Duration;
java/time/Duration	ofMillis	(J)Ljava/time/Duration;
java/time/Duration	ofMinutes	(J)Ljava/time/Duration;
java/time/Duration	ofNanos	(J)Ljava/time/Duration;
java/time/Duration	ofSeconds	(J)Ljava/time/Duration;
java/time/Duration	ofSeconds	(JJ)Ljava/time/Duration;
java/time/Duration	plus	(JLjava/time/temporal/TemporalUnit;)Ljava/time/Duration;
java/time/Duration	plus	(Ljava/time/Duration;)Ljava/time/Duration;
java/time/Duration	plusDays	(J)Ljava/time/Duration;
java/time/Duration	plusHours	(J)Ljava/time/Duration;
java/time/Duration	plusMillis	(J)Ljava/time/Duration;
java/time/Duration	plusMinutes	(J)Ljava/time/Duration;
java/time/Duration	plusNanos	(J)Ljava/time/Duration;
java/time/Duration	plusSeconds	(J)Ljava/time/Duration;
java/time/Duration	seconds	J
java/time/Duration	subtractFrom	(Ljava/time/temporal/Temporal;)Ljava/time/temporal/Temporal;
java/time/Duration	toDays	()J
java/time/Duration	toHours	()J
java/time/Duration	toMillis	()J
java/time/Duration	toMinutes	()J
java/time/Duration	toNanos	()J
java/time/Duration	toString	()Ljava/lang/String;
java/time/Instant
java/time/Instant	EPOCH	Ljava/time/Instant;
java/time/Instant	compareTo	(Ljava/lang/Object;)I
java/time/Instant	compareTo	(Ljava/time/Instant;)I
java/time/Instant	equals	(Ljava/lang/Object;)Z
java/time/Instant	from	(Ljava/time/temporal/Temporal;)Ljava/time/Instant;
java/time/Instant	getEpochSecond	()J
java/time/Instant	getNano	()I
java/time/Instant	hashCode	()I
java/time/Instant	isAfter	(Ljava/time/Instant;)Z
java/time/Instant	isBefore	(Ljava/time/Instant;)Z
java/time/Instant	isSupported	(Ljava/time/temporal/TemporalUnit;)Z
java/time/Instant	minus	(JLjava/time/temporal/TemporalUnit;)Ljava/time/Instant;
java/time/Instant	minus	(JLjava/time/temporal/TemporalUnit;)Ljava/time/temporal/Temporal;
java/time/Instant	minus	(Ljava/time/temporal/TemporalAmount;)Ljava/time/Instant;
java/time/Instant	minus	(Ljava/time/temporal/TemporalAmount;)Ljava/time/temporal/Temporal;
java/time/Instant	minusMillis	(J)Ljava/time/Instant;
java/time/Instant	minusNanos	(J)Ljava/time/Instant;
java/time/Instant	minusSeconds	(J)Ljava/time/Instant;
java/time/Instant	nanos	I
java/time/Instant	now	()Ljava/time/Instant;
java/time/Instant	ofEpochMilli	(J)Ljava/time/Instant;
java/time/Instant	ofEpochSecond	(J)Ljava/time/Instant;
java/time/Instant	ofEpochSecond	(JJ)Ljava/time/Instant;
java/time/Instant	plus	(JLjava/time/temporal/TemporalUnit;)Ljava/time/Instant;
java/time/Instant	plus	(JLjava/time/temporal/TemporalUnit;)Ljava/time/temporal/Temporal;
java/time/Instant	plus	(Ljava/time/temporal/TemporalAmount;)Ljava/time/Instant;
java/time/Instant	plus	(Ljava/time/temporal/TemporalAmount;)Ljava/time/temporal/Temporal;
java/time/Instant	plusMillis	(J)Ljava/time/Instant;
java/time/Instant	plusNanos	(J)Ljava/time/Instant;
java/time/Instant	plusSeconds	(J)Ljava/time/Instant;
java/time/Instant	seconds	J
java/time/Instant	toEpochMilli	()J
java/time/Instant	toString	()Ljava/lang/String;
java/time/Instant	until	(Ljava/time/temporal/Temporal;Ljava/time/temporal/TemporalUnit;)J
java/time/Instant$1
java/time/Instant$1	$SwitchMap$java$time$temporal$ChronoUnit	[I
java/time/LocalDate
java/time/LocalDate	DAYS_0000_TO_1970	J
java/time/LocalDate	DAYS_PER_CYCLE	I
java/time/LocalDate	EPOCH	Ljava/time/LocalDate;
java/time/LocalDate	MAX	Ljava/time/LocalDate;
java/time/LocalDate	MIN	Ljava/time/LocalDate;
java/time/LocalDate	appendTo	(Ljava/lang/StringBuilder;)V
java/time/LocalDate	atStartOfDay	()Ljava/time/LocalDateTime;
java/time/LocalDate	atTime	(II)Ljava/time/LocalDateTime;
java/time/LocalDate	atTime	(III)Ljava/time/LocalDateTime;
java/time/LocalDate	atTime	(Ljava/time/LocalTime;)Ljava/time/LocalDateTime;
java/time/LocalDate	atTime	(Ljava/time/LocalTime;)Ljava/time/chrono/ChronoLocalDateTime;
java/time/LocalDate	compareTo	(Ljava/lang/Object;)I
java/time/LocalDate	compareTo	(Ljava/time/chrono/ChronoLocalDate;)I
java/time/LocalDate	day	I
java/time/LocalDate	daysUntil	(Ljava/time/LocalDate;)J
java/time/LocalDate	equals	(Ljava/lang/Object;)Z
java/time/LocalDate	format	(Ljava/time/format/DateTimeFormatter;)Ljava/lang/String;
java/time/LocalDate	from	(Ljava/time/temporal/Temporal;)Ljava/time/LocalDate;
java/time/LocalDate	getDayOfMonth	()I
java/time/LocalDate	getDayOfWeek	()Ljava/time/DayOfWeek;
java/time/LocalDate	getDayOfYear	()I
java/time/LocalDate	getMonth	()Ljava/time/Month;
java/time/LocalDate	getMonthValue	()I
java/time/LocalDate	getYear	()I
java/time/LocalDate	hashCode	()I
java/time/LocalDate	isAfter	(Ljava/time/chrono/ChronoLocalDate;)Z
java/time/LocalDate	isBefore	(Ljava/time/chrono/ChronoLocalDate;)Z
java/time/LocalDate	isEqual	(Ljava/time/chrono/ChronoLocalDate;)Z
java/time/LocalDate	isLeapYear	()Z
java/time/LocalDate	isSupported	(Ljava/time/temporal/TemporalUnit;)Z
java/time/LocalDate	lengthOfMonth	()I
java/time/LocalDate	lengthOfYear	()I
java/time/LocalDate	minus	(JLjava/time/temporal/TemporalUnit;)Ljava/time/LocalDate;
java/time/LocalDate	minus	(JLjava/time/temporal/TemporalUnit;)Ljava/time/temporal/Temporal;
java/time/LocalDate	minus	(Ljava/time/temporal/TemporalAmount;)Ljava/time/LocalDate;
java/time/LocalDate	minus	(Ljava/time/temporal/TemporalAmount;)Ljava/time/temporal/Temporal;
java/time/LocalDate	minusDays	(J)Ljava/time/LocalDate;
java/time/LocalDate	minusMonths	(J)Ljava/time/LocalDate;
java/time/LocalDate	minusWeeks	(J)Ljava/time/LocalDate;
java/time/LocalDate	minusYears	(J)Ljava/time/LocalDate;
java/time/LocalDate	month	I
java/time/LocalDate	now	()Ljava/time/LocalDate;
java/time/LocalDate	now	(Ljava/time/ZoneId;)Ljava/time/LocalDate;
java/time/LocalDate	of	(III)Ljava/time/LocalDate;
java/time/LocalDate	of	(ILjava/time/Month;I)Ljava/time/LocalDate;
java/time/LocalDate	ofEpochDay	(J)Ljava/time/LocalDate;
java/time/LocalDate	ofYearDay	(II)Ljava/time/LocalDate;
java/time/LocalDate	parse	(Ljava/lang/CharSequence;)Ljava/time/LocalDate;
java/time/LocalDate	plus	(JLjava/time/temporal/TemporalUnit;)Ljava/time/LocalDate;
java/time/LocalDate	plus	(JLjava/time/temporal/TemporalUnit;)Ljava/time/temporal/Temporal;
java/time/LocalDate	plus	(Ljava/time/temporal/TemporalAmount;)Ljava/time/LocalDate;
java/time/LocalDate	plus	(Ljava/time/temporal/TemporalAmount;)Ljava/time/temporal/Temporal;
java/time/LocalDate	plusDays	(J)Ljava/time/LocalDate;
java/time/LocalDate	plusMonths	(J)Ljava/time/LocalDate;
java/time/LocalDate	plusWeeks	(J)Ljava/time/LocalDate;
java/time/LocalDate	plusYears	(J)Ljava/time/LocalDate;
java/time/LocalDate	toEpochDay	()J
java/time/LocalDate	toString	()Ljava/lang/String;
java/time/LocalDate	until	(Ljava/time/temporal/Temporal;Ljava/time/temporal/TemporalUnit;)J
java/time/LocalDate	withDayOfMonth	(I)Ljava/time/LocalDate;
java/time/LocalDate	withDayOfYear	(I)Ljava/time/LocalDate;
java/time/LocalDate	withMonth	(I)Ljava/time/LocalDate;
java/time/LocalDate	withYear	(I)Ljava/time/LocalDate;
java/time/LocalDate	year	I
java/time/LocalDate$1
java/time/LocalDate$1	$SwitchMap$java$time$temporal$ChronoUnit	[I
java/time/LocalDateTime
java/time/LocalDateTime	compareTo	(Ljava/lang/Object;)I
java/time/LocalDateTime	compareTo	(Ljava/time/chrono/ChronoLocalDateTime;)I
java/time/LocalDateTime	date	Ljava/time/LocalDate;
java/time/LocalDateTime	equals	(Ljava/lang/Object;)Z
java/time/LocalDateTime	format	(Ljava/time/format/DateTimeFormatter;)Ljava/lang/String;
java/time/LocalDateTime	from	(Ljava/time/temporal/Temporal;)Ljava/time/LocalDateTime;
java/time/LocalDateTime	getDayOfMonth	()I
java/time/LocalDateTime	getDayOfWeek	()Ljava/time/DayOfWeek;
java/time/LocalDateTime	getDayOfYear	()I
java/time/LocalDateTime	getHour	()I
java/time/LocalDateTime	getMinute	()I
java/time/LocalDateTime	getMonth	()Ljava/time/Month;
java/time/LocalDateTime	getMonthValue	()I
java/time/LocalDateTime	getNano	()I
java/time/LocalDateTime	getSecond	()I
java/time/LocalDateTime	getYear	()I
